S.No,Item name,Brand_Name,Category,Sub_Category,Matched_Ingredients,Matched_Categories,Matched_Severities
1,HIDE & SEEK® ,PARLE,BISCUIT,COOKIES,INVERT SUGAR SYRUP; DEXTROSE; REFINED PALM OIL; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; hidden_sugar; saturated_fat_source; refined_carb; sodium_source,medium; medium; medium; medium; low
2,Britannia Nutrichoice Digestive High-Fibre Biscuits,BRITANNIA,BISCUIT,DIGESTIVE BISCUIT,INVERT SUGAR SYRUP; MALTODEXTRIN; REFINED PALM OIL; EMULSIFIERS 471; RAISING AGENTS 500(II); RAISING AGENTS 503(II); MILK SOLIDS; IODISED SALT,hidden_sugar; hidden_sugar; saturated_fat_source; emulsifier; raising_agent; raising_agent; allergen; sodium_source,medium; medium; medium; low; low; low; low; low
3,"Sunfeast Dark Fantasy Choco Fills, Original Filled Cookies with Choco Crème",SUNFEAST,BISCUIT,CHOCO FILLS,SUGAR; LIQUID GLUCOSE; INVERT SYRUP; HYDROGENATED VEGETABLE OIL; REFINED PALM OIL; RAISING AGENTS INS 500(II); RAISING AGENTS INS 503(II); NATURE IDENTICAL FLAVOURING SUBSTANCES; ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE; MILK SOLIDS; REFINED WHEAT FLOUR; IODIZED SALT,added_sugar; hidden_sugar; hidden_sugar; trans_fat_source; saturated_fat_source; raising_agent; raising_agent; artificial_flavoring; artificial_flavoring; allergen; refined_carb; sodium_source,medium; medium; medium; high; medium; low; low; medium; medium; low; medium; low
4,Sunfeast Baked Creations Rich Choco Chip Cookies,SUNFEAST,BISCUIT,COOKIES,SUGAR; LIQUID GLUCOSE; DEXTROSE; HYDROGENATED VEGETABLE OIL; REFINED PALM OIL; RAISING AGENTS INS 500(II); NATURE IDENTICAL FLAVOURING SUBSTANCES; ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE; MILK SOLIDS; REFINED WHEAT FLOUR; IODIZED SALT,added_sugar; hidden_sugar; hidden_sugar; trans_fat_source; saturated_fat_source; raising_agent; artificial_flavoring; artificial_flavoring; allergen; refined_carb; sodium_source,medium; medium; medium; high; medium; low; medium; medium; low; medium; low
5,"sunfeast Dark Fantasy Bourbon, Classic Biscuit Made With Real Chocolate",SUNFEAST,BISCUIT,CREAME,SUGAR; REFINED PALM OIL; RAISING AGENTS INS 500(II); RAISING AGENTS INS 503(II); MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); STARCH; IODISED SALT,added_sugar; saturated_fat_source; raising_agent; raising_agent; allergen; refined_carb; refined_carb; sodium_source,medium; medium; low; low; low; medium; low; low
6,Britannia Good Day Cashew Cookies Family Pack,BRITANNIA,BISCUIT,COOKIES,SUGAR; INVERT SYRUP; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; hidden_sugar; allergen; refined_carb; sodium_source,medium; medium; low; medium; low
7,The Baker's Dozen Zero Maida Coconut and Oats Biscuits Cookies,THE BAKER'S DOZEN,BISCUIT,COOKIES,SUGAR; LIQUID GLUCOSE; RAISING AGENTS INS 500(II); MILK SOLIDS,added_sugar; hidden_sugar; raising_agent; allergen,medium; medium; low; low
8,Britannia The Original Bourbon,BRITANNIA,BISCUIT,CREAME,SUGAR; REFINED PALM OIL; EMULSIFIERS 471; ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE; MILK SOLIDS; REFINED WHEAT FLOUR; STARCH; IODISED SALT,added_sugar; saturated_fat_source; emulsifier; artificial_flavoring; allergen; refined_carb; refined_carb; sodium_source,medium; medium; low; medium; low; medium; low; low
9,Nutrisum Oats Cookies,NUTRISUM,BISCUIT,COOKIES,HYDROGENATED VEGETABLE FAT; RAISING AGENTS INS 500(II); RAISING AGENTS INS 503(II); NATURE IDENTICAL FLAVOURING SUBSTANCES; MILK SOLIDS,trans_fat_source; raising_agent; raising_agent; artificial_flavoring; allergen,high; low; low; medium; low
10,Britannia Good Day Pista Badam,BRITANNIA,BISCUIT,COOKIES,SUGAR; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; allergen; refined_carb; sodium_source,medium; low; medium; low
11,Britannia Treat Jimjam Cream Biscuits,BRITANNIA,BISCUIT,CREAME,INVERT SUGAR SYRUP; DEXTROSE; MALTODEXTRIN; REFINED PALM OIL; ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); STARCH; IODISED SALT,hidden_sugar; hidden_sugar; hidden_sugar; saturated_fat_source; artificial_flavoring; allergen; refined_carb; refined_carb; sodium_source,medium; medium; medium; medium; medium; low; medium; low; low
12,UNIBIC Danish Coconut Cookies,UNIBIC,BISCUIT,COOKIES,SUGAR; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; allergen; refined_carb; sodium_source,medium; low; medium; low
13,Orion Choco Pie - Chocolate Coated Soft Biscuit,ORION,BISCUIT,PIE,SUGAR; DEXTROSE; GLUCOSE SYRUP; HYDROGENATED VEGETABLE FAT; PALM OIL; MILK SOLIDS,added_sugar; hidden_sugar; hidden_sugar; trans_fat_source; saturated_fat_source; allergen,medium; medium; medium; high; medium; low
14,Britannia Nutrichoice Oats Cookies Diabetic Friendly,BRITANNIA,BISCUIT,COOKIES,MALTODEXTRIN; REFINED PALM OIL; EMULSIFIERS 471; MILK SOLIDS; IODISED SALT,hidden_sugar; saturated_fat_source; emulsifier; allergen; sodium_source,medium; medium; low; low; low
15,Nutrisum Oats Cookies,NUTRISUM,BISCUIT,COOKIES,HYDROGENATED VEGETABLE FAT; RAISING AGENTS INS 500(II); RAISING AGENTS INS 503(II); MILK SOLIDS,trans_fat_source; raising_agent; raising_agent; allergen,high; low; low; low
16,Britannia Nice Time Biscuit,BRITANNIA,BISCUIT,BISCUIT,INVERT SUGAR SYRUP; REFINED PALM OIL; EMULSIFIERS 471; RAISING AGENTS 500(II); RAISING AGENTS 503(II); ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); STARCH; IODISED SALT,hidden_sugar; saturated_fat_source; emulsifier; raising_agent; raising_agent; artificial_flavoring; allergen; refined_carb; refined_carb; sodium_source,medium; medium; low; low; low; medium; low; medium; low; low
17,Britannia Good Day Pista Badam Cookies,BRITANNIA,BISCUIT,COOKIES,SUGAR; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; allergen; refined_carb; sodium_source,medium; low; medium; low
18,Sunfeast Cheese Wowzers,SUNFEAST,BISCUIT,CRACKER,SUGAR; LIQUID GLUCOSE; MALTODEXTRIN; REFINED PALM OIL; ANTICAKING AGENT (INS 551); NATURE IDENTICAL FLAVOURING SUBSTANCES; FLAVOUR ENHANCER; WHEAT GLUTEN; MILK SOLIDS; REFINED WHEAT FLOUR; STARCH; IODIZED SALT,added_sugar; hidden_sugar; hidden_sugar; saturated_fat_source; anticaking_agent; artificial_flavoring; msg_likely; allergen; allergen; refined_carb; refined_carb; sodium_source,medium; medium; medium; medium; low; medium; medium; low; low; medium; low; low
19,Ragi Kaju Pista Cookies,LET'S TRY,BISCUIT,COOKIES,SUGAR; HYDROGENATED VEGETABLE FAT; MILK SOLIDS; CORN FLOUR,added_sugar; trans_fat_source; allergen; refined_carb,medium; high; low; low
20,Britannia Little Hearts Classic Crunch Biscuits,BRITANNIA,BISCUIT,BISCUIT,SUGAR; RAISING AGENTS 500(II); RAISING AGENTS 503(II); MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; raising_agent; raising_agent; allergen; refined_carb; sodium_source,medium; low; low; low; medium; low
21,Britannia Good Day Butter Jeera Cookies,BRITANNIA,BISCUIT,COOKIES,INVERT SUGAR SYRUP; REFINED PALM OIL; EMULSIFIERS 471; RAISING AGENTS 500(II); RAISING AGENTS 503(II); MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; saturated_fat_source; emulsifier; raising_agent; raising_agent; allergen; refined_carb; sodium_source,medium; medium; low; low; low; low; medium; low
22,UNIBIC Choco Chip Cookies,UNIBIC,BISCUIT,COOKIES,SUGAR; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; allergen; refined_carb; sodium_source,medium; low; medium; low
23,Britannia Milk Bikis Biscuits,BRITANNIA,BISCUIT,BISCUIT,INVERT SUGAR SYRUP; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; allergen; refined_carb; sodium_source,medium; low; medium; low
24,Sunfeast Baked Creations Walnut & Choco Chip Cookies,SUNFEAST,BISCUIT,COOKIES,SUGAR; DEXTROSE; HYDROGENATED VEGETABLE OIL; REFINED PALM OIL; RAISING AGENTS INS 500(II); RAISING AGENTS INS 503(II); ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE; MILK SOLIDS; REFINED WHEAT FLOUR; IODIZED SALT,added_sugar; hidden_sugar; trans_fat_source; saturated_fat_source; raising_agent; raising_agent; artificial_flavoring; allergen; refined_carb; sodium_source,medium; medium; high; medium; low; low; medium; low; medium; low
25,"Ritebite Max Protein Cookie Choco Almond, Sugar Free Premium Biscuit Cookies",MAX PROTEIN,BISCUIT,COOKIES,CORN FLOUR,refined_carb,low
