ingredient_name,category,severity,ins_code,notes,source
SUGAR,added_sugar,medium,,Direct added sugar; most common ingredient in dataset (564 occurrences),FSSAI labeling guidelines
LIQUID GLUCOSE,hidden_sugar,medium,,Added sugar in syrup form; common in biscuits/chocolates,FSSAI / WHO sugar guidance
INVERT SUGAR SYRUP,hidden_sugar,medium,,Added sugar; alternate name to obscure sugar content,FSSAI / WHO sugar guidance
INVERT SYRUP,hidden_sugar,medium,,Same as invert sugar syrup,FSSAI / WHO sugar guidance
INVERT SUGAR,hidden_sugar,medium,,Added sugar alias,FSSAI / WHO sugar guidance
DEXTROSE,hidden_sugar,medium,,Simple sugar; alternate name for glucose,WHO sugar guidance
MALTODEXTRIN,hidden_sugar,medium,,High-glycemic carbohydrate often used as filler/sweetener,WHO sugar guidance
GLUCOSE SYRUP,hidden_sugar,medium,,Added sugar syrup,FSSAI / WHO sugar guidance
REFINED SUGAR,added_sugar,medium,,Processed added sugar,FSSAI labeling guidelines
JAGGERY,added_sugar,low,,Less processed than refined sugar but still a concentrated sugar,General nutrition guidance
HYDROGENATED VEGETABLE OIL,trans_fat_source,high,,Common source of industrially produced trans fats,FSSAI trans-fat regulation (2021 limits)
HYDROGENATED VEGETABLE FAT,trans_fat_source,high,,Same as above,FSSAI trans-fat regulation
REFINED PALM OIL,saturated_fat_source,medium,,High in saturated fat; frequent in biscuits/snacks,General nutrition guidance
PALM OIL,saturated_fat_source,medium,,High in saturated fat,General nutrition guidance
REFINED PALMOLEIN OIL,saturated_fat_source,medium,,Palm oil fraction, high saturated fat,General nutrition guidance
EDIBLE VEGETABLE OIL (PALM OIL),saturated_fat_source,medium,,Palm oil labeled generically,General nutrition guidance
ACIDITY REGULATOR (INS 330),acidity_regulator,low,INS 330,Citric acid - generally recognized as safe,FSSAI food additive regulations
ACIDITY REGULATOR (330),acidity_regulator,low,INS 330,Citric acid,FSSAI food additive regulations
CITRIC ACID,acidity_regulator,low,INS 330,Generally safe acidity regulator,FSSAI food additive regulations
ANTICAKING AGENT (INS 551),anticaking_agent,low,INS 551,Silicon dioxide - permitted, low concern at regulated levels,FSSAI food additive regulations
PRESERVATIVE (INS 211),preservative,medium,INS 211,Sodium benzoate - linked to hyperactivity concerns in some studies when combined with certain colors,FSSAI food additive regulations / EWG Food Scores
ANTIOXIDANT (INS 300),antioxidant,low,INS 300,Ascorbic acid (Vitamin C) - safe antioxidant,FSSAI food additive regulations
EMULSIFIERS (442, 476),emulsifier,low,"INS 442, INS 476",Common emulsifiers in chocolate; generally low concern,FSSAI food additive regulations
EMULSIFIERS 471,emulsifier,low,INS 471,Mono- and diglycerides of fatty acids,FSSAI food additive regulations
EMULSIFIER (INS 471),emulsifier,low,INS 471,Mono- and diglycerides of fatty acids,FSSAI food additive regulations
